Group,ATZ,MA,PROP,Pesticide,Media,Conc,Weight,SA,soil,sample_id
ATZMAPZ,1,1,1,ATZT,Amphib,21.59188167,1.4277,1.609926671,15.29643396,ATZMAPZ_ATZT
ATZMAPZ,1,1,1,ATZT,Amphib,7.680368996,1.7623,1.818660037,8.908539646,ATZMAPZ_ATZT
ATZMAPZ,1,1,1,ATZT,Amphib,12.22164293,2.6348,2.295536421,19.95381742,ATZMAPZ_ATZT
ATZMAPZ,1,1,1,ATZT,Amphib,17.55825611,1.7856,1.832543676,10.09561301,ATZMAPZ_ATZT
ATZMAPZ,1,1,1,MAT,Amphib,13.42028218,1.8822,1.889308054,5.437493668,ATZMAPZ_MAT
ATZMAPZ,1,1,1,MAT,Amphib,1.067061599,1.3043,1.527829407,12.54734474,ATZMAPZ_MAT
ATZMAPZ,1,1,1,MAT,Amphib,0.465758248,1.4277,1.609926671,19.62375481,ATZMAPZ_MAT
ATZMAPZ,1,1,1,MAT,Amphib,3.417440919,1.7623,1.818660037,10.45576392,ATZMAPZ_MAT
ATZMAPZ,1,1,1,MAT,Amphib,0.146541193,2.6348,2.295536421,25.70127,ATZMAPZ_MAT
ATZMAPZ,1,1,1,MAT,Amphib,2.513366509,1.7856,1.832543676,11.83207768,ATZMAPZ_MAT
ATZMAPZ,1,1,1,PROPT,Amphib,1.951847538,1.8822,1.889308054,1.022306607,ATZMAPZ_PROPT
ATZMAPZ,1,1,1,PROPT,Amphib,0.826026215,1.3043,1.527829407,1.908621872,ATZMAPZ_PROPT
ATZMAPZ,1,1,1,PROPT,Amphib,0.729029923,1.4277,1.609926671,2.576560951,ATZMAPZ_PROPT
ATZMAPZ,1,1,1,PROPT,Amphib,2.330295203,1.7623,1.818660037,1.635051116,ATZMAPZ_PROPT
ATZMAPZ,1,1,1,PROPT,Amphib,0.423424017,2.6348,2.295536421,3.663718819,ATZMAPZ_PROPT
ATZMAPZ,1,1,1,PROPT,Amphib,1.269632524,1.7856,1.832543676,1.626713737,ATZMAPZ_PROPT
