Group,ATZ,MA,PROP,Pesticide,Media,Conc,Weight,SA
MA,-1,1,-1,MAS,Soil,10.55445522,2.0002,1.957008931
MA,-1,1,-1,MAS,Soil,9.966445081,2.0931,2.009133027
MA,-1,1,-1,MAS,Soil,11.033564,2.4281,2.189478269
MA,-1,1,-1,MAS,Soil,15.67963061,1.8155,1.850248779
MA,-1,1,-1,MAS,Soil,7.726574354,2.2664,2.103832524
PZ,-1,-1,1,PROPS,Soil,2.285530658,3.9973,2.922094388
PZ,-1,-1,1,PROPS,Soil,1.669634522,2.8816,2.417682157
PZ,-1,-1,1,PROPS,Soil,2.267828698,1.998,1.955762348
PZ,-1,-1,1,PROPS,Soil,1.688230622,1.9545,1.93099412
PZ,-1,-1,1,PROPS,Soil,0.735373911,1.1879,1.447334277
PZ,-1,-1,1,PROPS,Soil,1.27316806,2.3395,2.142858733
ATZMA,1,1,-1,ATZS,Soil,14.55805778,1.766,1.820869873
ATZMA,1,1,-1,ATZS,Soil,13.65665823,2.2464,2.093063099
ATZMA,1,1,-1,ATZS,Soil,13.8229852,2.0137,1.964645815
ATZMA,1,1,-1,ATZS,Soil,15.02127697,1.8167,1.850956779
ATZMA,1,1,-1,ATZS,Soil,13.06283651,1.2746,1.507588417
ATZMA,1,1,-1,ATZS,Soil,14.02436294,1.9827,1.947076892
ATZMA,1,1,-1,MAS,Soil,14.73402463,1.766,1.820869873
ATZMA,1,1,-1,MAS,Soil,10.59984089,2.2464,2.093063099
ATZMA,1,1,-1,MAS,Soil,15.45546267,2.0137,1.964645815
ATZMA,1,1,-1,MAS,Soil,16.59410296,1.8167,1.850956779
ATZMA,1,1,-1,MAS,Soil,12.59892886,1.2746,1.507588417
ATZMA,1,1,-1,MAS,Soil,13.996472,1.9827,1.947076892
ATZPZ,1,-1,1,ATZS,Soil,10.7413345,3.5113,2.710798464
ATZPZ,1,-1,1,ATZS,Soil,14.16492267,3.0233,2.485821477
ATZPZ,1,-1,1,ATZS,Soil,11.30487955,2.8777,2.415787056
ATZPZ,1,-1,1,ATZS,Soil,13.26294821,3.4314,2.674910192
ATZPZ,1,-1,1,ATZS,Soil,9.800334422,1.6593,1.756336878
ATZPZ,1,-1,1,ATZS,Soil,11.14345791,2.2353,2.087068649
ATZPZ,1,-1,1,PROPS,Soil,1.691527517,3.5113,2.710798464
ATZPZ,1,-1,1,PROPS,Soil,2.382033269,3.0233,2.485821477
ATZPZ,1,-1,1,PROPS,Soil,1.894795833,2.8777,2.415787056
ATZPZ,1,-1,1,PROPS,Soil,2.649912975,3.4314,2.674910192
ATZPZ,1,-1,1,PROPS,Soil,1.726407016,1.6593,1.756336878
ATZPZ,1,-1,1,PROPS,Soil,1.776310953,2.2353,2.087068649
MAPZ,-1,1,1,MAS,Soil,3.984319641,2.1656,2.049137486
MAPZ,-1,1,1,MAS,Soil,11.04586081,2.0876,2.006074583
MAPZ,-1,1,1,MAS,Soil,13.9283524,2.3087,2.12647891
MAPZ,-1,1,1,MAS,Soil,11.31467303,1.822,1.854081427
MAPZ,-1,1,1,MAS,Soil,9.618777499,4.0141,2.929198859
MAPZ,-1,1,1,MAS,Soil,13.21693663,1.7896,1.834919445
MAPZ,-1,1,1,PROPS,Soil,0.912393334,2.1656,2.049137486
MAPZ,-1,1,1,PROPS,Soil,1.596897761,2.0876,2.006074583
MAPZ,-1,1,1,PROPS,Soil,2.199030193,2.3087,2.12647891
MAPZ,-1,1,1,PROPS,Soil,1.714418038,1.822,1.854081427
MAPZ,-1,1,1,PROPS,Soil,2.031949048,4.0141,2.929198859
MAPZ,-1,1,1,PROPS,Soil,2.249579494,1.7896,1.834919445
ATZMAPZ,1,1,1,ATZS,Soil,5.557614515,1.8822,1.889308054
ATZMAPZ,1,1,1,ATZS,Soil,9.3824592,1.3043,1.527829407
ATZMAPZ,1,1,1,ATZS,Soil,15.29643396,1.4277,1.609926671
ATZMAPZ,1,1,1,ATZS,Soil,8.908539646,1.7623,1.818660037
ATZMAPZ,1,1,1,ATZS,Soil,19.95381742,2.6348,2.295536421
ATZMAPZ,1,1,1,ATZS,Soil,10.09561301,1.7856,1.832543676
ATZMAPZ,1,1,1,MAS,Soil,5.437493668,1.8822,1.889308054
ATZMAPZ,1,1,1,MAS,Soil,12.54734474,1.3043,1.527829407
ATZMAPZ,1,1,1,MAS,Soil,19.62375481,1.4277,1.609926671
ATZMAPZ,1,1,1,MAS,Soil,10.45576392,1.7623,1.818660037
ATZMAPZ,1,1,1,MAS,Soil,25.70127,2.6348,2.295536421
ATZMAPZ,1,1,1,MAS,Soil,11.83207768,1.7856,1.832543676
