"","chemical","species","vals"
"1","bifenthrin","Leopard frog","0, 0.954, 0.197"
"2","metolachlor","Leopard frog","0.016, 4.848, 0.476"
"3","triadimefon","Leopard frog","0.02, 0.417, 0.141"
