Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac
Barking treefrog,HGOI3,Imidacloprid,LCMS,1,Overspray,5.58E-06,0.926100389,0.47984644,0.57,1.929993248,1.82332,2.1352,510,0.51,255.661,1.543,172390.3404,1.75471881,0.0002,292.5,84,Arboreal
Barking treefrog,HGOI4,Imidacloprid,LCMS,1,Overspray,5.58E-06,0.718277624,0.47984644,0.57,1.496890598,2.91551,3.251,510,0.51,255.661,1.543,167604.602,2.238311006,0.0002,292.5,84,Arboreal
Barking treefrog,HGOI5,Imidacloprid,LCMS,1,Overspray,5.58E-06,1.08903614,0.47984644,0.57,2.26955136,2.49115,2.682,510,0.51,255.661,1.543,242717.6912,2.002351119,0.0002,292.5,84,Arboreal
Barking treefrog,HGOP1,Pendimethalin,LCMS,1,Overspray,2.00E-05,2.138795205,12.11934838,5.18,0.176477739,2.09766,2.4557,0.3,0.0003,281.31,1.17,118179.0298,1.902716611,4,243000,40,Arboreal
Barking treefrog,HGOP2,Pendimethalin,LCMS,1,Overspray,2.00E-05,2.01901591,12.11934838,5.18,0.166594428,2.41178,2.6535,0.3,0.0003,281.31,1.17,122640.469,1.990003587,4,243000,40,Arboreal
Barking treefrog,HGOP3,Pendimethalin,LCMS,1,Overspray,2.00E-05,2.28849235,12.11934838,5.18,0.188829653,1.72083,2.0292,0.3,0.0003,281.31,1.17,115849.4482,1.703741473,4,243000,40,Arboreal
Barking treefrog,HGOP4,Pendimethalin,LCMS,1,Overspray,2.00E-05,2.767161376,12.11934838,5.18,0.228325921,2.70413,3.0105,0.3,0.0003,281.31,1.17,175177.3338,2.140890094,4,243000,40,Arboreal
Barking treefrog,HGOP5,Pendimethalin,LCMS,1,Overspray,2.00E-05,1.232549848,12.11934838,5.18,0.101701,2.23741,2.5177,0.3,0.0003,281.31,1.17,71600.55505,1.930384889,4,243000,40,Arboreal
Barking treefrog,HGOA1,Total Atrazine,LCMS,1,Overspray,2.30E-05,12.2881692,15.10490982,2.5,0.81352152,2.02028,2.5056,30,0.03,215.68,1.187,560554.6551,1.92500784,0.04,122,80,Arboreal
Barking treefrog,HGOA2,Total Atrazine,LCMS,1,Overspray,2.30E-05,8.916353622,15.10490982,2.5,0.590295058,1.69156,1.9493,30,0.03,215.68,1.187,393843.8316,1.664571146,0.04,122,80,Arboreal
Barking treefrog,HGOA3,Total Atrazine,LCMS,1,Overspray,2.30E-05,9.702578705,15.10490982,2.5,0.64234602,2.07221,2.4317,30,0.03,215.68,1.187,461921.4891,1.891927509,0.04,122,80,Arboreal
