app_rate_g_cm2,application,body_weight_g,chemical,exp_duration,formulation,sample_id,soil_conc_ugg,soil_type,source,species,tissue_conc_ugg
3.48E-05,soil,2.6239,alachlor,8,0,L13,11.08150104,USLoam,rvmunpub,Southern Leopard Frog,0.21552731
3.48E-05,soil,3.4551,alachlor,8,0,L14,13.39903434,USLoam,rvmunpub,Southern Leopard Frog,1.639580211
3.48E-05,soil,5.5893,alachlor,8,0,L15,9.256396054,USLoam,rvmunpub,Southern Leopard Frog,6.840747596
3.48E-05,soil,2.8485,alachlor,8,0,L16,16.20179671,USLoam,rvmunpub,Southern Leopard Frog,1.741527994
3.48E-05,soil,3.7588,alachlor,8,0,L17,22.75571035,USLoam,rvmunpub,Southern Leopard Frog,2.167242833
3.48E-05,soil,3.6792,alachlor,8,0,L18,16.12935532,USLoam,rvmunpub,Southern Leopard Frog,1.086745028
3.48E-05,soil,3.6562,alachlor,8,0,LN13,12.24391137,USLoam,rvmunpub,Southern Leopard Frog,0.917771774
3.48E-05,soil,4.9543,alachlor,8,0,LN14,18.01392415,USLoam,rvmunpub,Southern Leopard Frog,4.715858464
3.48E-05,soil,4.8907,alachlor,8,0,LN15,12.02008178,USLoam,rvmunpub,Southern Leopard Frog,0.865894587
3.48E-05,soil,4.178,alachlor,8,0,LN16,14.63366911,USLoam,rvmunpub,Southern Leopard Frog,2.924920322
3.48E-05,soil,3.9761,alachlor,8,0,LN17,19.86087527,USLoam,rvmunpub,Southern Leopard Frog,2.314295449
3.48E-05,soil,4.4961,alachlor,8,0,LN18,12.85119469,USLoam,rvmunpub,Southern Leopard Frog,1.185701262
3.48E-05,soil,3.6405,alachlor,8,0,ZL13,11.14846165,USLoam,rvmunpub,Southern Leopard Frog,1.576116733
3.48E-05,soil,3.455,alachlor,8,0,ZL14,25.87280149,USLoam,rvmunpub,Southern Leopard Frog,2.38761007
3.48E-05,soil,4.3476,alachlor,8,0,ZL15,9.999975661,USLoam,rvmunpub,Southern Leopard Frog,8.998278249
3.48E-05,soil,5.226,alachlor,8,0,ZL16,19.24860383,USLoam,rvmunpub,Southern Leopard Frog,3.501471765
3.48E-05,soil,2.0911,alachlor,8,0,ZL17,12.02007237,USLoam,rvmunpub,Southern Leopard Frog,1.37728742
3.48E-05,soil,3.7822,alachlor,8,0,ZL18,6.648547847,USLoam,rvmunpub,Southern Leopard Frog,9.960007494
3.48E-05,soil,3.7998,alachlor,8,0,ZLN13,11.6467944,USLoam,rvmunpub,Southern Leopard Frog,2.090896538
3.48E-05,soil,2.2945,alachlor,8,0,ZLN14,10.6624691,USLoam,rvmunpub,Southern Leopard Frog,4.789251305
3.48E-05,soil,2.8058,alachlor,8,0,ZLN15,8.27896531,USLoam,rvmunpub,Southern Leopard Frog,13.93756486
3.48E-05,soil,4.3403,alachlor,8,0,ZLN16,10.33028874,USLoam,rvmunpub,Southern Leopard Frog,1.063748029
3.48E-05,soil,4.0674,alachlor,8,0,ZLN17,9.603221911,USLoam,rvmunpub,Southern Leopard Frog,2.408360885
3.48E-05,soil,4.3011,alachlor,8,0,ZLN18,10.10434789,USLoam,rvmunpub,Southern Leopard Frog,2.308444399
2.36E-05,soil,2.5926,atrazine,8,0,Z13,7.536388846,USLoam,rvmunpub,Southern Leopard Frog,6.9676175
2.36E-05,soil,3.45,atrazine,8,0,Z14,11.85351224,USLoam,rvmunpub,Southern Leopard Frog,1.895246434
2.36E-05,soil,4.2454,atrazine,8,0,Z15,9.296771335,USLoam,rvmunpub,Southern Leopard Frog,2.951272391
2.36E-05,soil,3.1211,atrazine,8,0,Z16,7.091785474,USLoam,rvmunpub,Southern Leopard Frog,10.12529768
2.36E-05,soil,4.4353,atrazine,8,0,Z17,12.85872714,USLoam,rvmunpub,Southern Leopard Frog,1.148059186
2.36E-05,soil,3.0693,atrazine,8,0,Z18,11.85351224,USLoam,rvmunpub,Southern Leopard Frog,0.386969933
2.36E-05,soil,3.6405,atrazine,8,0,ZL13,6.030842861,USLoam,rvmunpub,Southern Leopard Frog,1.301219969
2.36E-05,soil,3.455,atrazine,8,0,ZL14,14.4633311,USLoam,rvmunpub,Southern Leopard Frog,1.956966751
2.36E-05,soil,4.3476,atrazine,8,0,ZL15,5.463595695,USLoam,rvmunpub,Southern Leopard Frog,5.620875127
2.36E-05,soil,5.226,atrazine,8,0,ZL16,10.87031134,USLoam,rvmunpub,Southern Leopard Frog,1.895610106
2.36E-05,soil,2.0911,atrazine,8,0,ZL17,6.625377867,USLoam,rvmunpub,Southern Leopard Frog,1.07355267
2.36E-05,soil,3.7822,atrazine,8,0,ZL18,3.704790699,USLoam,rvmunpub,Southern Leopard Frog,9.155779964
2.36E-05,soil,3.7998,atrazine,8,0,ZLN13,7.600116947,USLoam,rvmunpub,Southern Leopard Frog,1.769087355
2.36E-05,soil,2.2945,atrazine,8,0,ZLN14,6.878636974,USLoam,rvmunpub,Southern Leopard Frog,6.266085661
2.36E-05,soil,2.8058,atrazine,8,0,ZLN15,5.251226421,USLoam,rvmunpub,Southern Leopard Frog,9.597340844
2.36E-05,soil,4.3403,atrazine,8,0,ZLN16,6.415673815,USLoam,rvmunpub,Southern Leopard Frog,0.492605254
2.36E-05,soil,4.0674,atrazine,8,0,ZLN17,5.751892513,USLoam,rvmunpub,Southern Leopard Frog,2.293874688
2.36E-05,soil,4.3011,atrazine,8,0,ZLN18,6.379509334,USLoam,rvmunpub,Southern Leopard Frog,1.52009265
2.36E-05,soil,4.8689,atrazine,8,0,ZN13,7.100660364,USLoam,rvmunpub,Southern Leopard Frog,0.699235064
2.36E-05,soil,4.6047,atrazine,8,0,ZN14,12.14903279,USLoam,rvmunpub,Southern Leopard Frog,0.416047155
2.36E-05,soil,4.0417,atrazine,8,0,ZN15,12.22517282,USLoam,rvmunpub,Southern Leopard Frog,1.214998761
2.36E-05,soil,3.3774,atrazine,8,0,ZN16,11.92515719,USLoam,rvmunpub,Southern Leopard Frog,3.70393861
2.36E-05,soil,5.2596,atrazine,8,0,ZN17,19.26612219,USLoam,rvmunpub,Southern Leopard Frog,1.08378731
2.36E-05,soil,2.6801,atrazine,8,0,ZN18,20.60541132,USLoam,rvmunpub,Southern Leopard Frog,0.791994902
