"","chemical","species","vals"
"1","ATZT","Rana_clamitans","0.004, 5.633, 1.069"
"2","DT","Rana_clamitans","0.034, 0.801, 0.242"
"3","MAT","Rana_clamitans","0.006, 2.468, 0.201"
"4","MET","Rana_clamitans","0.006, 0.73, 0.199"
"5","PROPT","Rana_clamitans","0, 1.909, 0.417"
