"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","soil_type","species","tissue_conc_ugg"
"104",1.12e-06,"Soil",1.99483,"Total Fipronil",8,0,2.495701956,"PLE","Barking treefrog",0.461519982
"105",1.12e-06,"Soil",1.56533,"Total Fipronil",8,0,2.495701956,"PLE","Barking treefrog",0.2997831
"106",2.79e-06,"Soil",1.30797,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.268608762
"107",2.79e-06,"Soil",1.082,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.216919024
"108",2.79e-06,"Soil",2.56323,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.143700399
"109",2.79e-06,"Soil",1.61382,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.274522017
"110",2.79e-06,"Soil",2.84579,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.173080623
"121",5.62e-06,"Soil",0.7479,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.253213485
"122",5.62e-06,"Soil",0.74614,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.434782099
"123",5.62e-06,"Soil",0.53965,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.372214162
"124",5.62e-06,"Soil",0.71619,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.339457748
"125",5.62e-06,"Soil",0.63282,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.275966093
"126",2.79e-06,"Soil",0.6273,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",2.077130886
"127",2.79e-06,"Soil",0.50037,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",1.756096815
"128",2.79e-06,"Soil",0.70107,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",1.744838243
"129",2.79e-06,"Soil",0.69761,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",1.460137338
"130",2.79e-06,"Soil",0.70298,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",1.373422118
"166",1.99e-05,"Soil",1.44625,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",1.015765216
"167",1.99e-05,"Soil",1.4138,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",0.793134917
"168",1.99e-05,"Soil",2.94055,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",0.232912294
"169",1.99e-05,"Soil",2.01645,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",2.450801741
"170",1.99e-05,"Soil",1.73866,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",0.348901972
"171",2.28e-05,"Soil",2.811,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",9.865493013
"172",2.28e-05,"Soil",1.04725,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",14.56173496
"173",2.28e-05,"Soil",2.57336,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",10.4565577
"174",2.28e-05,"Soil",1.93404,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",9.020873418
"175",2.28e-05,"Soil",0.82668,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",8.439433709
"176",1.14e-06,"Soil",2.87106,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",1.155134535
"177",1.14e-06,"Soil",1.28161,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",0.524889572
"178",1.14e-06,"Soil",2.48014,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",1.259008899
"179",1.14e-06,"Soil",1.69321,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",1.158626237
"180",1.14e-06,"Soil",0.89804,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",2.07002135
"181",2.74e-06,"Soil",0.95994,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.17768118
"182",2.74e-06,"Soil",1.74647,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.249114027
"183",2.74e-06,"Soil",1.37367,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.309893558
"184",2.74e-06,"Soil",3.32274,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.404606482
"185",2.74e-06,"Soil",1.09363,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.318423813
"221",5.66e-06,"Soil",1.50164,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.188500223
"222",5.66e-06,"Soil",1.89679,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.176685812
"223",5.66e-06,"Soil",1.48929,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.158445082
"224",5.66e-06,"Soil",2.47287,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.133043234
"225",5.66e-06,"Soil",1.5308,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.27666374
"226",1.99e-05,"Soil",1.42942,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.077086057
"227",1.99e-05,"Soil",1.72685,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.04141364
"228",1.99e-05,"Soil",1.77209,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.062623285
"229",1.99e-05,"Soil",1.59006,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.018846949
"230",1.99e-05,"Soil",1.59253,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.060285257
"231",2.31e-05,"Soil",1.56286,"Total Atrazine",8,0,16.63951616,"PLE","Gray treefrog",8.381738534
