"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","source","species","tissue_conc_ugg"
"47",3.48e-05,"soil",3.4031,"alachlor",8,0,"ZLN11",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.657375214
"48",3.48e-05,"soil",2.2094,"alachlor",8,0,"ZLN12",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.178485692
"49",2.36e-05,"soil",2.6316,"atrazine",8,0,"Z1",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.201299055
"50",2.36e-05,"soil",2.6161,"atrazine",8,0,"Z2",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.386685354
"51",2.36e-05,"soil",2.1122,"atrazine",8,0,"Z3",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.486291534
"52",2.36e-05,"soil",3.3128,"atrazine",8,0,"Z4",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.636583438
"53",2.36e-05,"soil",2.5713,"atrazine",8,0,"Z5",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.49853646
"54",2.36e-05,"soil",1.8519,"atrazine",8,0,"Z6",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.088663384
"55",2.36e-05,"soil",4.5554,"atrazine",8,0,"Z7",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.285263751
"56",2.36e-05,"soil",3.6254,"atrazine",8,0,"Z8",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.682723037
"57",2.36e-05,"soil",2.8051,"atrazine",8,0,"Z9",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.160267255
"58",2.36e-05,"soil",3.9503,"atrazine",8,0,"Z10",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.391576021
"59",2.36e-05,"soil",3.6025,"atrazine",8,0,"Z11",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.354803864
"60",2.36e-05,"soil",2.9042,"atrazine",8,0,"Z12",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.173367485
"61",2.36e-05,"soil",2.871,"atrazine",8,0,"ZL1",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.087787816
"62",2.36e-05,"soil",20.235,"atrazine",8,0,"ZL2",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.48935754
"63",2.36e-05,"soil",1.9015,"atrazine",8,0,"ZL3",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.304651448
"64",2.36e-05,"soil",2.4023,"atrazine",8,0,"ZL4",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.157112955
"65",2.36e-05,"soil",2.2534,"atrazine",8,0,"ZL5",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.522232571
"66",2.36e-05,"soil",2.1474,"atrazine",8,0,"ZL6",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.285586265
"67",2.36e-05,"soil",2.9632,"atrazine",8,0,"ZL7",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.052243991
"68",2.36e-05,"soil",1.5397,"atrazine",8,0,"ZL8",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.181254865
"69",2.36e-05,"soil",1.9321,"atrazine",8,0,"ZL9",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.698236332
"70",2.36e-05,"soil",3.3231,"atrazine",8,0,"ZL10",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.087866221
"71",2.36e-05,"soil",1.682,"atrazine",8,0,"ZL11",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.34565438
"72",2.36e-05,"soil",1.7178,"atrazine",8,0,"ZL12",NA,"USLOAM","rvm2019","Southern Leopard Frog",2.404962271
"73",2.36e-05,"soil",2.5504,"atrazine",8,0,"ZLN1",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.306545779
"74",2.36e-05,"soil",1.8986,"atrazine",8,0,"ZLN2",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.259527428
"75",2.36e-05,"soil",2.7107,"atrazine",8,0,"ZLN3",NA,"USLOAM","rvm2019","Southern Leopard Frog",3.592173133
"76",2.36e-05,"soil",4.3843,"atrazine",8,0,"ZLN4",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.391157334
"77",2.36e-05,"soil",2.2217,"atrazine",8,0,"ZLN5",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.455882459
"78",2.36e-05,"soil",2.0617,"atrazine",8,0,"ZLN6",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.287436749
"79",2.36e-05,"soil",3.5299,"atrazine",8,0,"ZLN7",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.522726099
"80",2.36e-05,"soil",2.693,"atrazine",8,0,"ZLN8",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.400476323
"81",2.36e-05,"soil",2.4907,"atrazine",8,0,"ZLN9",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.55031685
"82",2.36e-05,"soil",1.3976,"atrazine",8,0,"ZLN10",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.511930956
"83",2.36e-05,"soil",3.4031,"atrazine",8,0,"ZLN11",NA,"USLOAM","rvm2019","Southern Leopard Frog",1.040898344
"84",2.36e-05,"soil",2.2094,"atrazine",8,0,"ZLN12",NA,"USLOAM","rvm2019","Southern Leopard Frog",5.907865598
