"","chemical","species","vals"
"1","atrazine","Fowlers toad","0.028, 0.46, 0.145"
"2","fipronil","Fowlers toad","0.252, 4.03, 1.129"
"3","triadimefon","Fowlers toad","0.04, 0.479, 0.12"
