Group,ATZ,D,ME,AppRate,Weight,SA,Media,Pesticide,Conc,soil,sample_id
D,-1,1,-1,14.3,1.9682,1.673896833,Amphib,ATZT,0,0,D_ATZT
D,-1,1,-1,14.3,2.6828,2.002696917,Amphib,ATZT,0,0,D_ATZT
D,-1,1,-1,14.3,1.6688,1.521369444,Amphib,ATZT,0,0,D_ATZT
D,-1,1,-1,14.3,2.0942,1.735130392,Amphib,ATZT,0,0,D_ATZT
D,-1,1,-1,14.3,1.7835,1.581065047,Amphib,ATZT,0,0,D_ATZT
ATZ,1,-1,-1,23.6,1.7134,1.544780677,Amphib,ATZT,71.52121587,12.69771491,ATZ_ATZT
ATZ,1,-1,-1,23.6,2.5341,1.937655456,Amphib,ATZT,25.08110461,19.53422036,ATZ_ATZT
ATZ,1,-1,-1,23.6,2.0332,1.705685209,Amphib,ATZT,19.38292403,13.95176297,ATZ_ATZT
ATZ,1,-1,-1,23.6,3.6843,2.406479364,Amphib,ATZT,25.87712484,15.08549153,ATZ_ATZT
ATZ,1,-1,-1,23.6,2.1559,1.764548385,Amphib,ATZT,6.776429551,13.7795504,ATZ_ATZT
ATZ,1,-1,-1,23.6,2.1582,1.765638103,Amphib,ATZT,42.67128214,19.94532486,ATZ_ATZT
ME,-1,-1,1,30.9,1.1019,1.196362878,Amphib,ATZT,0,0,ME_ATZT
ME,-1,-1,1,30.9,2.9835,2.129751748,Amphib,ATZT,0,0,ME_ATZT
ME,-1,-1,1,30.9,1.2984,1.315606863,Amphib,ATZT,0,0,ME_ATZT
ME,-1,-1,1,30.9,2.6159,1.973627754,Amphib,ATZT,0,0,ME_ATZT
ME,-1,-1,1,30.9,2.4927,1.919263229,Amphib,ATZT,0,0,ME_ATZT
ME,-1,-1,1,30.9,1.2846,1.307492569,Amphib,ATZT,0,0,ME_ATZT
ATZD,1,1,-1,37.9,3.5987,2.37394653,Amphib,ATZT,0.079700165,19.44494185,ATZD_ATZT
ATZD,1,1,-1,37.9,2.8407,2.070121781,Amphib,ATZT,25.49430275,24.56342025,ATZD_ATZT
ATZD,1,1,-1,37.9,2.2087,1.789442601,Amphib,ATZT,30.38948929,19.94192561,ATZD_ATZT
ATZD,1,1,-1,37.9,1.6348,1.503344888,Amphib,ATZT,4.398786764,30.12097404,ATZD_ATZT
ATZD,1,1,-1,37.9,1.686,1.530428829,Amphib,ATZT,34.87420323,32.99061237,ATZD_ATZT
ATZD,1,1,-1,37.9,2.0948,1.73541821,Amphib,ATZT,5.783764403,25.52512934,ATZD_ATZT
ATZME,1,-1,1,54.5,2.0979,1.736904716,Amphib,ATZT,23.94075151,29.88147648,ATZME_ATZT
ATZME,1,-1,1,54.5,1.8523,1.616097145,Amphib,ATZT,20.57274567,32.42308149,ATZME_ATZT
ATZME,1,-1,1,54.5,1.8649,1.622453161,Amphib,ATZT,1.22063448,24.54042533,ATZME_ATZT
ATZME,1,-1,1,54.5,2.4907,1.918371472,Amphib,ATZT,40.42981243,27.24279867,ATZME_ATZT
ATZME,1,-1,1,54.5,1.8136,1.596460353,Amphib,ATZT,20.35015638,28.25567985,ATZME_ATZT
ATZME,1,-1,1,54.5,2.7419,2.028123924,Amphib,ATZT,10.6958582,27.84221841,ATZME_ATZT
MED,-1,1,1,45.2,2.2984,1.831167344,Amphib,ATZT,0,0,MED_ATZT
MED,-1,1,1,45.2,1.5863,1.477357862,Amphib,ATZT,0,0,MED_ATZT
MED,-1,1,1,45.2,1.8205,1.599974314,Amphib,ATZT,0,0,MED_ATZT
MED,-1,1,1,45.2,1.6197,1.495289308,Amphib,ATZT,0,0,MED_ATZT
MED,-1,1,1,45.2,0.9634,1.1068446,Amphib,ATZT,0,0,MED_ATZT
MED,-1,1,1,45.2,2.2634,1.814969805,Amphib,ATZT,0,0,MED_ATZT
