time,parent,analyte,matrix,conc,replicate
12,triadimefon,TDN,amphib,0.487313921,1
12,triadimefon,TDN,amphib,1.163882256,2
12,triadimefon,TDN,amphib,0.518446024,3
12,triadimefon,TDN,amphib,0.850015349,4
24,triadimefon,TDN,amphib,0.753354385,1
24,triadimefon,TDN,amphib,0.268774096,2
24,triadimefon,TDN,amphib,0.324932505,3
24,triadimefon,TDN,amphib,2.114540569,4
48,triadimefon,TDN,amphib,0.337985638,1
48,triadimefon,TDN,amphib,0.18812362,2
48,triadimefon,TDN,amphib,0.174854226,3
48,triadimefon,TDN,amphib,0.29378644,4
0,triadimefon,TDN,soil,2.627567728,1
0,triadimefon,TDN,soil,2.341914656,2
0,triadimefon,TDN,soil,4.266025689,3
0,triadimefon,TDN,soil,3.190696114,4
2,triadimefon,TDN,soil,3.915163994,1
2,triadimefon,TDN,soil,4.450902463,2
2,triadimefon,TDN,soil,1.688343156,3
2,triadimefon,TDN,soil,4.577359522,4
4,triadimefon,TDN,soil,5.783319171,1
4,triadimefon,TDN,soil,4.935462785,2
4,triadimefon,TDN,soil,5.065177266,3
4,triadimefon,TDN,soil,5.316094756,4
12,triadimefon,TDN,soil,4.923943959,1
12,triadimefon,TDN,soil,6.277397501,2
12,triadimefon,TDN,soil,5.355520847,3
12,triadimefon,TDN,soil,7.160118125,4
24,triadimefon,TDN,soil,4.987433206,1
24,triadimefon,TDN,soil,4.742588571,2
24,triadimefon,TDN,soil,5.137942579,3
24,triadimefon,TDN,soil,4.412886734,4
48,triadimefon,TDN,soil,3.55497782,1
48,triadimefon,TDN,soil,4.545502603,2
48,triadimefon,TDN,soil,4.412475335,3
48,triadimefon,TDN,soil,4.208369195,4
2,triadimefon,TDL A,amphib,0.080559356,1
2,triadimefon,TDL A,amphib,0.06053728,2
2,triadimefon,TDL A,amphib,0.030128407,3
2,triadimefon,TDL A,amphib,0.049353776,4
4,triadimefon,TDL A,amphib,0.147613164,1
4,triadimefon,TDL A,amphib,0.040359532,2
4,triadimefon,TDL A,amphib,0.073149364,3
4,triadimefon,TDL A,amphib,0.064884946,4
12,triadimefon,TDL A,amphib,0.036723652,1
12,triadimefon,TDL A,amphib,0.056514982,2
12,triadimefon,TDL A,amphib,0.019889379,3
12,triadimefon,TDL A,amphib,0.03216735,4
24,triadimefon,TDL A,amphib,0.029743557,1
24,triadimefon,TDL A,amphib,0.021140814,2
24,triadimefon,TDL A,amphib,0.014682658,3
24,triadimefon,TDL A,amphib,0.030464554,4
48,triadimefon,TDL A,amphib,0.021376313,1
48,triadimefon,TDL A,amphib,0.010355493,2
48,triadimefon,TDL A,amphib,0.01299036,3
48,triadimefon,TDL A,amphib,0.017274138,4
0,triadimefon,TDL A,soil,0,1
0,triadimefon,TDL A,soil,0,2
0,triadimefon,TDL A,soil,0,3
0,triadimefon,TDL A,soil,0,4
2,triadimefon,TDL A,soil,0.004506936,1
2,triadimefon,TDL A,soil,0.003252988,2
2,triadimefon,TDL A,soil,0.004757199,3
2,triadimefon,TDL A,soil,0.004134749,4
4,triadimefon,TDL A,soil,0.005510975,1
4,triadimefon,TDL A,soil,0.002785258,2
4,triadimefon,TDL A,soil,0.00303336,3
4,triadimefon,TDL A,soil,0.004866444,4
12,triadimefon,TDL A,soil,0.005938954,1
12,triadimefon,TDL A,soil,0.00435567,2
12,triadimefon,TDL A,soil,0.006983082,3
12,triadimefon,TDL A,soil,0.004676642,4
24,triadimefon,TDL A,soil,0.006815213,1
24,triadimefon,TDL A,soil,0.003700975,2
24,triadimefon,TDL A,soil,0.004949822,3
24,triadimefon,TDL A,soil,0.008802852,4
48,triadimefon,TDL A,soil,0.014072554,1
48,triadimefon,TDL A,soil,0.008794405,2
48,triadimefon,TDL A,soil,0.015805502,3
48,triadimefon,TDL A,soil,0.013171673,4
2,triadimefon,TDL B,amphib,0.105002487,1
2,triadimefon,TDL B,amphib,0.081704724,2
2,triadimefon,TDL B,amphib,0.065137384,3
2,triadimefon,TDL B,amphib,0.082663977,4
4,triadimefon,TDL B,amphib,0.201894814,1
4,triadimefon,TDL B,amphib,0.07368602,2
4,triadimefon,TDL B,amphib,0.108347245,3
4,triadimefon,TDL B,amphib,0.136453648,4
12,triadimefon,TDL B,amphib,0.064217836,1
12,triadimefon,TDL B,amphib,0.148402181,2
