"","chemical","species","vals"
"1","atrazine","American toad","0.012, 0.22, 0.052"
"2","fipronil","American toad","0.019, 0.229, 0.1"
"3","imidacloprid","American toad","0.016, 0.129, 0.043"
"4","pendimethalin","American toad","0.055, 1.089, 0.277"
"5","triadimefon","American toad","0.004, 0.222, 0.05"
