"","X","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","soil_type","species","tissue_conc_ugg","tim_direct_avian_1hr_perez","tim_direct_avian_1hr_perez_ratios","tim_direct_avian_1hr","tim_direct_avian_1hr_ratios","tim_direct_amphib_1hr"
"31",91,1.98e-05,"Soil",2.44812,"Pendimethalin",8,0,13.61565316,"PLE","Barking treefrog",0.409017886,434.584660612228,1062.50771784642,73.4774210611072,179.643540236544,30.7226889117284
"32",92,1.98e-05,"Soil",2.46997,"Pendimethalin",8,0,13.61565316,"PLE","Barking treefrog",0.257508419,432.885047086671,1681.05201673686,73.2603291710927,284.49683103795,30.6079747382641
"33",93,1.98e-05,"Soil",2.01387,"Pendimethalin",8,0,13.61565316,"PLE","Barking treefrog",0.094968352,473.665499390627,4987.61418320313,78.4138409783668,825.683918136926,33.3549702636242
"34",94,1.98e-05,"Soil",2.29373,"Pendimethalin",8,0,13.61565316,"PLE","Barking treefrog",0.08250324,447.250116775646,5421.00063919484,75.0887043068259,910.130369508227,31.5768994891797
"35",95,1.98e-05,"Soil",2.2234,"Pendimethalin",8,0,13.61565316,"PLE","Barking treefrog",0.099338888,453.434804556695,4564.52466587602,75.8714411413802,763.763745184869,31.9936198871717
"36",96,2.3e-05,"Soil",2.069224088,"Total Atrazine",8,0,14.43612837,"PLE","Barking treefrog",7.876952404,543.677226492643,69.021265917077,90.2680237274762,11.4597650331919,38.3058821678248
"37",97,2.3e-05,"Soil",1.2818,"Total Atrazine",8,0,14.43612837,"PLE","Barking treefrog",6.342816533,671.527067366144,105.872062335772,105.875065339901,16.6921216763974,46.8627860207058
"38",98,2.3e-05,"Soil",1.91549,"Total Atrazine",8,0,14.43612837,"PLE","Barking treefrog",5.059544246,562.50557270583,111.177122949471,92.6186906965228,18.3057378675452,39.5713259986436
"39",99,2.3e-05,"Soil",1.66783,"Total Atrazine",8,0,14.43612837,"PLE","Barking treefrog",5.640191973,597.920336330454,106.010635665017,96.9887354841897,17.1959989923183,41.9463848046559
"40",100,2.3e-05,"Soil",2.6954,"Total Atrazine",8,0,14.43612837,"PLE","Barking treefrog",5.631964095,483.846293627136,85.9107560818241,82.6609337354558,14.6771059511621,34.2711011899671
