"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","source","species","tissue_conc_ugg"
"1",2.395e-05,"Indirect",1.8401,"atrazine",8,0,"LFA0-1",0,"PLE","dag_dehydration","LF",2.579782807
"2",2.395e-05,"Indirect",2.8486,"atrazine",8,0,"LFA0-2",0,"PLE","dag_dehydration","LF",1.691182353
"3",2.395e-05,"Indirect",2.307,"atrazine",8,0,"LFA0-3",0,"PLE","dag_dehydration","LF",12.52319717
"4",2.395e-05,"Indirect",2.2679,"atrazine",8,0,"LFA0-4",0,"PLE","dag_dehydration","LF",2.970273811
"5",2.395e-05,"Indirect",2.1439,"atrazine",8,0,"LFA0-5",0,"PLE","dag_dehydration","LF",8.050942336
"6",2.395e-05,"Indirect",1.8628,"atrazine",8,0,"LFA0-6",0,"PLE","dag_dehydration","LF",7.478230678
"7",2.395e-05,"Indirect",3.039,"atrazine",8,0,"LFA2-1",0,"PLE","dag_dehydration","LF",2.186808836
"8",2.395e-05,"Indirect",2.0345,"atrazine",8,0,"LFA2-2",0,"PLE","dag_dehydration","LF",5.338854395
"9",2.395e-05,"Indirect",2.196,"atrazine",8,0,"LFA2-3",0,"PLE","dag_dehydration","LF",1.693429589
"10",2.395e-05,"Indirect",2.6681,"atrazine",8,0,"LFA2-4",0,"PLE","dag_dehydration","LF",8.968187875
"11",2.395e-05,"Indirect",2.3648,"atrazine",8,0,"LFA2-5",0,"PLE","dag_dehydration","LF",1.454206808
"12",2.395e-05,"Indirect",1.9188,"atrazine",8,0,"LFA2-6",0,"PLE","dag_dehydration","LF",1.718054357
"13",2.395e-05,"Indirect",2.3476,"atrazine",8,0,"LFA4-1",0,"PLE","dag_dehydration","LF",1.715569485
"14",2.395e-05,"Indirect",2.6426,"atrazine",8,0,"LFA4-2",0,"PLE","dag_dehydration","LF",6.984378843
"15",2.395e-05,"Indirect",2.4232,"atrazine",8,0,"LFA4-3",0,"PLE","dag_dehydration","LF",6.344470461
