"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","species","tissue_conc_ugg"
"87",5.69e-06,"Soil",2.26328,"Imidacloprid",8,0,"HGI2",2.565991685,"PLE","Barking treefrog",0.210770534
"88",5.69e-06,"Soil",1.27439,"Imidacloprid",8,0,"HGI3",2.565991685,"PLE","Barking treefrog",0.50673308
"89",5.69e-06,"Soil",1.89439,"Imidacloprid",8,0,"HGI4",2.565991685,"PLE","Barking treefrog",0.292676446
"90",5.69e-06,"Soil",1.4839,"Imidacloprid",8,0,"HGI5",2.565991685,"PLE","Barking treefrog",0.622028925
"91",1.98e-05,"Soil",2.44812,"Pendimethalin",8,0,"HGP1",13.61565316,"PLE","Barking treefrog",0.409017886
"92",1.98e-05,"Soil",2.46997,"Pendimethalin",8,0,"HGP2",13.61565316,"PLE","Barking treefrog",0.257508419
"93",1.98e-05,"Soil",2.01387,"Pendimethalin",8,0,"HGP3",13.61565316,"PLE","Barking treefrog",0.094968352
"94",1.98e-05,"Soil",2.29373,"Pendimethalin",8,0,"HGP4",13.61565316,"PLE","Barking treefrog",0.08250324
"95",1.98e-05,"Soil",2.2234,"Pendimethalin",8,0,"HGP5",13.61565316,"PLE","Barking treefrog",0.099338888
"96",2.3e-05,"Soil",2.069224088,"Total Atrazine",8,0,"HGA1",14.43612837,"PLE","Barking treefrog",7.876952404
"97",2.3e-05,"Soil",1.2818,"Total Atrazine",8,0,"HGA2",14.43612837,"PLE","Barking treefrog",6.342816533
"98",2.3e-05,"Soil",1.91549,"Total Atrazine",8,0,"HGA3",14.43612837,"PLE","Barking treefrog",5.059544246
"99",2.3e-05,"Soil",1.66783,"Total Atrazine",8,0,"HGA4",14.43612837,"PLE","Barking treefrog",5.640191973
"100",2.3e-05,"Soil",2.6954,"Total Atrazine",8,0,"HGA5",14.43612837,"PLE","Barking treefrog",5.631964095
"101",1.12e-06,"Soil",1.62588,"Total Fipronil",8,0,"HGF1",2.495701956,"PLE","Barking treefrog",0.656150683
"102",1.12e-06,"Soil",1.22989,"Total Fipronil",8,0,"HGF2",2.495701956,"PLE","Barking treefrog",0.966721159
"103",1.12e-06,"Soil",2.00445,"Total Fipronil",8,0,"HGF3",2.495701956,"PLE","Barking treefrog",0.464139949
"104",1.12e-06,"Soil",1.99483,"Total Fipronil",8,0,"HGF4",2.495701956,"PLE","Barking treefrog",0.461519982
"105",1.12e-06,"Soil",1.56533,"Total Fipronil",8,0,"HGF5",2.495701956,"PLE","Barking treefrog",0.2997831
"106",2.79e-06,"Soil",1.30797,"Total Triadimefon",8,0,"HGT1",5.94731458,"PLE","Barking treefrog",0.268608762
"107",2.79e-06,"Soil",1.082,"Total Triadimefon",8,0,"HGT2",5.94731458,"PLE","Barking treefrog",0.216919024
"108",2.79e-06,"Soil",2.56323,"Total Triadimefon",8,0,"HGT3",5.94731458,"PLE","Barking treefrog",0.143700399
"109",2.79e-06,"Soil",1.61382,"Total Triadimefon",8,0,"HGT4",5.94731458,"PLE","Barking treefrog",0.274522017
"110",2.79e-06,"Soil",2.84579,"Total Triadimefon",8,0,"HGT5",5.94731458,"PLE","Barking treefrog",0.173080623
"121",5.62e-06,"Soil",0.7479,"Imidacloprid",8,0,"CFI1",2.072271639,"PLE","Cricket frog",0.253213485
"122",5.62e-06,"Soil",0.74614,"Imidacloprid",8,0,"CFI2",2.072271639,"PLE","Cricket frog",0.434782099
"123",5.62e-06,"Soil",0.53965,"Imidacloprid",8,0,"CFI3",2.072271639,"PLE","Cricket frog",0.372214162
"124",5.62e-06,"Soil",0.71619,"Imidacloprid",8,0,"CFI4",2.072271639,"PLE","Cricket frog",0.339457748
"125",5.62e-06,"Soil",0.63282,"Imidacloprid",8,0,"CFI5",2.072271639,"PLE","Cricket frog",0.275966093
"126",2.79e-06,"Soil",0.6273,"Total Triadimefon",8,0,"CFT1",10.06719167,"PLE","Cricket frog",2.077130886
"127",2.79e-06,"Soil",0.50037,"Total Triadimefon",8,0,"CFT2",10.06719167,"PLE","Cricket frog",1.756096815
"128",2.79e-06,"Soil",0.70107,"Total Triadimefon",8,0,"CFT3",10.06719167,"PLE","Cricket frog",1.744838243
"129",2.79e-06,"Soil",0.69761,"Total Triadimefon",8,0,"CFT4",10.06719167,"PLE","Cricket frog",1.460137338
"130",2.79e-06,"Soil",0.70298,"Total Triadimefon",8,0,"CFT5",10.06719167,"PLE","Cricket frog",1.373422118
"166",1.99e-05,"Soil",1.44625,"Pendimethalin",8,0,"FTP1",12.47076761,"PLE","Fowlers toad",1.015765216
"167",1.99e-05,"Soil",1.4138,"Pendimethalin",8,0,"FTP2",12.47076761,"PLE","Fowlers toad",0.793134917
"168",1.99e-05,"Soil",2.94055,"Pendimethalin",8,0,"FTP3",12.47076761,"PLE","Fowlers toad",0.232912294
"169",1.99e-05,"Soil",2.01645,"Pendimethalin",8,0,"FTP4",12.47076761,"PLE","Fowlers toad",2.450801741
"170",1.99e-05,"Soil",1.73866,"Pendimethalin",8,0,"FTP5",12.47076761,"PLE","Fowlers toad",0.348901972
"171",2.28e-05,"Soil",2.811,"Total Atrazine",8,0,"FTA1",17.05417146,"PLE","Fowlers toad",9.865493013
"172",2.28e-05,"Soil",1.04725,"Total Atrazine",8,0,"FTA2",17.05417146,"PLE","Fowlers toad",14.56173496
"173",2.28e-05,"Soil",2.57336,"Total Atrazine",8,0,"FTA3",17.05417146,"PLE","Fowlers toad",10.4565577
"174",2.28e-05,"Soil",1.93404,"Total Atrazine",8,0,"FTA4",17.05417146,"PLE","Fowlers toad",9.020873418
"175",2.28e-05,"Soil",0.82668,"Total Atrazine",8,0,"FTA5",17.05417146,"PLE","Fowlers toad",8.439433709
"176",1.14e-06,"Soil",2.87106,"Total Fipronil",8,0,"FTF1",3.366859313,"PLE","Fowlers toad",1.155134535
"177",1.14e-06,"Soil",1.28161,"Total Fipronil",8,0,"FTF2",3.366859313,"PLE","Fowlers toad",0.524889572
"178",1.14e-06,"Soil",2.48014,"Total Fipronil",8,0,"FTF3",3.366859313,"PLE","Fowlers toad",1.259008899
"179",1.14e-06,"Soil",1.69321,"Total Fipronil",8,0,"FTF4",3.366859313,"PLE","Fowlers toad",1.158626237
"180",1.14e-06,"Soil",0.89804,"Total Fipronil",8,0,"FTF5",3.366859313,"PLE","Fowlers toad",2.07002135
"181",2.74e-06,"Soil",0.95994,"Total Triadimefon",8,0,"FTT1",7.010390361,"PLE","Fowlers toad",0.17768118
"182",2.74e-06,"Soil",1.74647,"Total Triadimefon",8,0,"FTT2",7.010390361,"PLE","Fowlers toad",0.249114027
"183",2.74e-06,"Soil",1.37367,"Total Triadimefon",8,0,"FTT3",7.010390361,"PLE","Fowlers toad",0.309893558
"184",2.74e-06,"Soil",3.32274,"Total Triadimefon",8,0,"FTT4",7.010390361,"PLE","Fowlers toad",0.404606482
