app_rate_g_cm2,application,body_weight_g,chemical,exp_duration,formulation,sample_id,soil_conc_ugg,soil_type,source,species,tissue_conc_ugg
5.62E-06,soil,0.74614,imidacloprid,8,0,CFI2,2.072271639,PLE,rvm2015,Cricket frog,0.434782099
5.62E-06,soil,0.53965,imidacloprid,8,0,CFI3,2.072271639,PLE,rvm2015,Cricket frog,0.372214162
5.62E-06,soil,0.71619,imidacloprid,8,0,CFI4,2.072271639,PLE,rvm2015,Cricket frog,0.339457748
5.62E-06,soil,0.63282,imidacloprid,8,0,CFI5,2.072271639,PLE,rvm2015,Cricket frog,0.275966093
2.79E-06,soil,0.6273,triadimefon,8,0,CFT1,10.06719167,PLE,rvm2015,Cricket frog,2.077130886
2.79E-06,soil,0.50037,triadimefon,8,0,CFT2,10.06719167,PLE,rvm2015,Cricket frog,1.756096815
2.79E-06,soil,0.70107,triadimefon,8,0,CFT3,10.06719167,PLE,rvm2015,Cricket frog,1.744838243
2.79E-06,soil,0.69761,triadimefon,8,0,CFT4,10.06719167,PLE,rvm2015,Cricket frog,1.460137338
2.79E-06,soil,0.70298,triadimefon,8,0,CFT5,10.06719167,PLE,rvm2015,Cricket frog,1.373422118
1.99E-05,soil,1.44625,pendimethalin,8,0,FTP1,12.47076761,PLE,rvm2015,Fowlers toad,1.015765216
1.99E-05,soil,1.4138,pendimethalin,8,0,FTP2,12.47076761,PLE,rvm2015,Fowlers toad,0.793134917
1.99E-05,soil,2.94055,pendimethalin,8,0,FTP3,12.47076761,PLE,rvm2015,Fowlers toad,0.232912294
1.99E-05,soil,2.01645,pendimethalin,8,0,FTP4,12.47076761,PLE,rvm2015,Fowlers toad,2.450801741
1.99E-05,soil,1.73866,pendimethalin,8,0,FTP5,12.47076761,PLE,rvm2015,Fowlers toad,0.348901972
2.28E-05,soil,2.811,atrazine,8,0,FTA1,17.05417146,PLE,rvm2015,Fowlers toad,9.865493013
2.28E-05,soil,1.04725,atrazine,8,0,FTA2,17.05417146,PLE,rvm2015,Fowlers toad,14.56173496
2.28E-05,soil,2.57336,atrazine,8,0,FTA3,17.05417146,PLE,rvm2015,Fowlers toad,10.4565577
2.28E-05,soil,1.93404,atrazine,8,0,FTA4,17.05417146,PLE,rvm2015,Fowlers toad,9.020873418
2.28E-05,soil,0.82668,atrazine,8,0,FTA5,17.05417146,PLE,rvm2015,Fowlers toad,8.439433709
1.14E-06,soil,2.87106,fipronil,8,0,FTF1,3.366859313,PLE,rvm2015,Fowlers toad,1.155134535
1.14E-06,soil,1.28161,fipronil,8,0,FTF2,3.366859313,PLE,rvm2015,Fowlers toad,0.524889572
1.14E-06,soil,2.48014,fipronil,8,0,FTF3,3.366859313,PLE,rvm2015,Fowlers toad,1.259008899
1.14E-06,soil,1.69321,fipronil,8,0,FTF4,3.366859313,PLE,rvm2015,Fowlers toad,1.158626237
1.14E-06,soil,0.89804,fipronil,8,0,FTF5,3.366859313,PLE,rvm2015,Fowlers toad,2.07002135
2.74E-06,soil,0.95994,triadimefon,8,0,FTT1,7.010390361,PLE,rvm2015,Fowlers toad,0.17768118
2.74E-06,soil,1.74647,triadimefon,8,0,FTT2,7.010390361,PLE,rvm2015,Fowlers toad,0.249114027
2.74E-06,soil,1.37367,triadimefon,8,0,FTT3,7.010390361,PLE,rvm2015,Fowlers toad,0.309893558
2.74E-06,soil,3.32274,triadimefon,8,0,FTT4,7.010390361,PLE,rvm2015,Fowlers toad,0.404606482
2.74E-06,soil,1.09363,triadimefon,8,0,FTT5,7.010390361,PLE,rvm2015,Fowlers toad,0.318423813
5.66E-06,soil,1.50164,imidacloprid,8,0,HVI1,2.865856558,PLE,rvm2015,Gray treefrog,0.188500223
5.66E-06,soil,1.89679,imidacloprid,8,0,HVI2,2.865856558,PLE,rvm2015,Gray treefrog,0.176685812
5.66E-06,soil,1.48929,imidacloprid,8,0,HVI3,2.865856558,PLE,rvm2015,Gray treefrog,0.158445082
5.66E-06,soil,2.47287,imidacloprid,8,0,HVI4,2.865856558,PLE,rvm2015,Gray treefrog,0.133043234
5.66E-06,soil,1.5308,imidacloprid,8,0,HVI5,2.865856558,PLE,rvm2015,Gray treefrog,0.27666374
1.99E-05,soil,1.42942,pendimethalin,8,0,HVP1,10.66105625,PLE,rvm2015,Gray treefrog,0.077086057
1.99E-05,soil,1.72685,pendimethalin,8,0,HVP2,10.66105625,PLE,rvm2015,Gray treefrog,0.04141364
1.99E-05,soil,1.77209,pendimethalin,8,0,HVP3,10.66105625,PLE,rvm2015,Gray treefrog,0.062623285
1.99E-05,soil,1.59006,pendimethalin,8,0,HVP4,10.66105625,PLE,rvm2015,Gray treefrog,0.018846949
1.99E-05,soil,1.59253,pendimethalin,8,0,HVP5,10.66105625,PLE,rvm2015,Gray treefrog,0.060285257
2.31E-05,soil,1.56286,atrazine,8,0,HVA1,16.63951616,PLE,rvm2015,Gray treefrog,8.381738534
2.31E-05,soil,1.42737,atrazine,8,0,HVA2,16.63951616,PLE,rvm2015,Gray treefrog,8.407586134
2.31E-05,soil,2.21783,atrazine,8,0,HVA3,16.63951616,PLE,rvm2015,Gray treefrog,10.43128937
2.31E-05,soil,2.86963,atrazine,8,0,HVA4,16.63951616,PLE,rvm2015,Gray treefrog,8.072348131
2.31E-05,soil,1.1115,atrazine,8,0,HVA5,16.63951616,PLE,rvm2015,Gray treefrog,6.806192479
1.05E-06,soil,2.29103,fipronil,8,0,HVF1,3.309695933,PLE,rvm2015,Gray treefrog,0.895649989
1.05E-06,soil,2.48463,fipronil,8,0,HVF2,3.309695933,PLE,rvm2015,Gray treefrog,0.453031887
