"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","source","species","tissue_conc_ugg"
"438",1.05e-06,"Soil",2.788,"Total Fipronil",8,0,"SF4",4.53176306,"PLE","rvm2015","Mole salamander",0.472718534
"439",1.05e-06,"Soil",1.75764,"Total Fipronil",8,0,"SF5",4.53176306,"PLE","rvm2015","Mole salamander",0.466888045
"440",2.87e-06,"Soil",2.42958,"Total Triadimefon",8,0,"ST1",6.136541259,"PLE","rvm2015","Mole salamander",1.119874054
"441",2.87e-06,"Soil",2.33583,"Total Triadimefon",8,0,"ST2",6.136541259,"PLE","rvm2015","Mole salamander",0.506757885
"442",2.87e-06,"Soil",1.92159,"Total Triadimefon",8,0,"ST3",6.136541259,"PLE","rvm2015","Mole salamander",0.23751407
"443",2.87e-06,"Soil",2.46557,"Total Triadimefon",8,0,"ST4",6.136541259,"PLE","rvm2015","Mole salamander",0.499320716
"444",2.87e-06,"Soil",2.68042,"Total Triadimefon",8,0,"ST5",6.136541259,"PLE","rvm2015","Mole salamander",0.322065257
"455",5.65e-06,"Soil",0.95183,"Imidacloprid",8,0,"NTI1",2.024466739,"PLE","rvm2015","Narrowmouth toad",0.294998693
"456",5.65e-06,"Soil",0.92942,"Imidacloprid",8,0,"NTI2",2.024466739,"PLE","rvm2015","Narrowmouth toad",0.395986198
"457",5.65e-06,"Soil",0.9349,"Imidacloprid",8,0,"NTI3",2.024466739,"PLE","rvm2015","Narrowmouth toad",0.214460025
"458",5.65e-06,"Soil",0.85968,"Imidacloprid",8,0,"NTI4",2.024466739,"PLE","rvm2015","Narrowmouth toad",0.319810784
"459",5.65e-06,"Soil",1.24292,"Imidacloprid",8,0,"NTI5",2.024466739,"PLE","rvm2015","Narrowmouth toad",0.49063891
"460",2.72e-06,"Soil",1.09861,"Total Triadimefon",8,0,"NTT1",6.241574746,"PLE","rvm2015","Narrowmouth toad",0.479349927
"461",2.72e-06,"Soil",0.8174,"Total Triadimefon",8,0,"NTT2",6.241574746,"PLE","rvm2015","Narrowmouth toad",0.318840389
"462",2.72e-06,"Soil",0.81689,"Total Triadimefon",8,0,"NTT3",6.241574746,"PLE","rvm2015","Narrowmouth toad",0.459769244
"463",2.72e-06,"Soil",0.79306,"Total Triadimefon",8,0,"NTT4",6.241574746,"PLE","rvm2015","Narrowmouth toad",0.447331937
"464",2.72e-06,"Soil",0.79105,"Total Triadimefon",8,0,"NTT5",6.241574746,"PLE","rvm2015","Narrowmouth toad",0.379035618
