pesticide,logkow,solubility,molecular_mass
imidacloprid,0.57,510,255.7
pendimethalin,5.18,0.3,281.3
Total Atrazine,2.5,30,215.7
Total Fipronil,4,3.78,437.2
Total Triadimefon,3.11,260,291.7
